user_id,timestamp,event_type,duration_seconds,date
u0061,2026-03-14 18:10:03,click,293,2026-03-14
u0047,2026-02-20 22:53:16,purchase,119,2026-02-20
u0184,2026-04-12 06:18:37,click,23,2026-04-12
u0005,2026-04-22 01:51:15,view,21,2026-04-22
u0022,2026-01-11 10:20:06,click,25,2026-01-11
u0157,2026-04-27 11:00:35,login,29,2026-04-27
u0065,2026-04-19 12:58:22,view,94,2026-04-19
u0175,2026-04-23 22:44:49,purchase,12,2026-04-23
u0025,2026-01-13 06:05:40,login,10,2026-01-13
u0063,2026-03-08 01:08:31,login,21,2026-03-08
u0099,2026-04-07 02:06:29,login,31,2026-04-07
u0111,2026-04-02 02:20:56,click,71,2026-04-02
u0053,2026-04-20 05:26:28,view,28,2026-04-20
u0057,2026-04-24 09:56:56,login,155,2026-04-24
u0062,2026-01-24 11:39:27,login,52,2026-01-24
u0012,2026-04-09 19:35:45,purchase,44,2026-04-09
u0014,2026-04-14 23:32:18,view,13,2026-04-14
u0055,2026-03-05 11:05:58,purchase,138,2026-03-05
u0037,2026-03-07 22:50:27,purchase,23,2026-03-07
u0065,2026-03-29 07:33:55,login,42,2026-03-29
u0176,2026-02-25 13:40:41,view,99,2026-02-25
u0173,2026-02-15 04:44:48,view,17,2026-02-15
u0129,2026-02-18 07:58:40,login,67,2026-02-18
u0196,2026-04-22 09:39:14,click,13,2026-04-22
u0097,2026-03-02 18:55:29,login,23,2026-03-02
u0061,2026-01-27 17:03:01,view,54,2026-01-27
u0027,2026-02-09 19:47:01,view,61,2026-02-09
u0196,2026-03-16 11:40:58,click,97,2026-03-16
u0159,2026-03-21 03:05:30,click,207,2026-03-21
u0151,2026-03-08 23:22:38,login,60,2026-03-08
u0002,2026-02-14 12:40:43,purchase,26,2026-02-14
u0170,2026-03-11 07:24:25,click,447,2026-03-11
u0005,2026-01-13 21:06:19,click,11,2026-01-13
u0134,2026-02-22 06:33:24,view,9,2026-02-22
u0163,2026-03-07 16:23:33,view,97,2026-03-07
u0096,2026-01-21 10:26:40,click,21,2026-01-21
u0133,2026-01-10 15:52:13,login,56,2026-01-10
u0195,2026-02-04 02:15:33,login,75,2026-02-04
u0028,2026-03-19 09:47:09,view,91,2026-03-19
u0085,2026-03-01 07:21:57,purchase,19,2026-03-01
u0138,2026-04-24 23:52:32,login,106,2026-04-24
u0035,2026-02-14 00:50:11,purchase,80,2026-02-14
u0028,2026-02-09 07:51:55,purchase,29,2026-02-09
u0092,2026-01-12 14:56:16,login,44,2026-01-12
u0116,2026-02-17 15:19:05,purchase,63,2026-02-17
u0123,2026-04-06 21:55:33,login,26,2026-04-06
u0150,2026-04-13 10:59:39,purchase,38,2026-04-13
u0004,2026-02-07 11:52:58,login,75,2026-02-07
u0034,2026-04-03 07:52:24,login,34,2026-04-03
u0008,2026-02-15 18:16:28,view,23,2026-02-15
u0048,2026-03-16 19:04:25,purchase,4,2026-03-16
u0168,2026-01-16 22:34:53,login,88,2026-01-16
u0135,2026-04-29 16:15:00,click,86,2026-04-29
u0011,2026-01-05 10:48:35,purchase,21,2026-01-05
u0058,2026-03-24 13:46:07,purchase,4,2026-03-24
u0196,2026-02-01 20:42:38,view,47,2026-02-01
u0117,2026-02-17 06:07:35,view,9,2026-02-17
u0168,2026-02-06 00:59:47,purchase,31,2026-02-06
u0007,2026-01-20 05:26:06,login,42,2026-01-20
u0126,2026-03-26 09:03:03,click,199,2026-03-26
u0159,2026-01-04 07:55:50,click,118,2026-01-04
u0148,2026-01-12 01:04:44,purchase,292,2026-01-12
u0047,2026-03-16 17:09:38,login,219,2026-03-16
u0079,2026-04-17 05:03:28,click,44,2026-04-17
u0143,2026-04-21 09:54:12,login,30,2026-04-21
u0161,2026-02-27 15:04:11,click,37,2026-02-27
u0111,2026-01-08 00:47:44,purchase,29,2026-01-08
u0074,2026-04-22 03:07:19,click,94,2026-04-22
u0090,2026-01-04 20:15:52,view,26,2026-01-04
u0193,2026-01-15 22:09:06,click,79,2026-01-15
u0171,2026-04-30 13:05:44,purchase,20,2026-04-30
u0059,2026-01-16 23:13:49,purchase,66,2026-01-16
u0176,2026-01-10 00:25:23,click,102,2026-01-10
u0025,2026-04-12 13:28:29,click,40,2026-04-12
u0053,2026-02-25 18:56:14,login,40,2026-02-25
u0031,2026-02-13 02:29:58,login,168,2026-02-13
u0011,2026-02-17 14:43:49,purchase,91,2026-02-17
u0056,2026-04-22 17:24:59,click,60,2026-04-22
u0004,2026-03-22 04:26:35,login,3,2026-03-22
u0011,2026-03-08 01:02:13,click,43,2026-03-08
u0027,2026-02-28 21:58:10,click,162,2026-02-28
u0041,2026-04-29 18:36:36,login,73,2026-04-29
u0016,2026-04-06 01:45:46,click,234,2026-04-06
u0006,2026-01-15 13:28:04,login,5,2026-01-15
u0001,2026-04-20 16:48:17,login,63,2026-04-20
u0064,2026-01-07 08:21:32,click,125,2026-01-07
u0162,2026-01-05 06:43:37,login,96,2026-01-05
u0079,2026-04-25 12:31:02,click,38,2026-04-25
u0146,2026-01-15 02:16:29,purchase,22,2026-01-15
u0025,2026-03-08 16:53:11,purchase,14,2026-03-08
u0176,2026-04-22 05:11:53,click,25,2026-04-22
u0081,2026-02-02 21:49:45,login,170,2026-02-02
u0095,2026-02-03 13:19:52,purchase,14,2026-02-03
u0069,2026-04-05 03:14:17,click,52,2026-04-05
u0183,2026-03-06 00:26:02,login,17,2026-03-06
u0103,2026-04-05 14:26:44,purchase,80,2026-04-05
u0136,2026-02-06 21:11:58,view,33,2026-02-06
u0189,2026-04-09 11:57:31,login,65,2026-04-09
u0047,2026-01-22 12:03:46,purchase,20,2026-01-22
u0133,2026-04-28 03:41:38,click,25,2026-04-28
u0064,2026-03-26 06:59:24,purchase,187,2026-03-26
u0067,2026-04-09 18:21:54,purchase,149,2026-04-09
u0060,2026-03-03 19:15:42,view,224,2026-03-03
u0058,2026-02-12 20:29:22,view,120,2026-02-12
u0059,2026-04-29 04:03:53,view,163,2026-04-29
u0164,2026-04-03 09:57:01,purchase,72,2026-04-03
u0071,2026-03-16 08:45:29,click,18,2026-03-16
u0190,2026-02-08 20:37:30,login,144,2026-02-08
u0174,2026-03-18 19:00:03,login,589,2026-03-18
u0179,2026-04-14 11:05:40,click,76,2026-04-14
u0045,2026-03-04 11:02:57,click,33,2026-03-04
u0092,2026-03-02 08:35:31,view,25,2026-03-02
u0047,2026-01-24 01:11:18,click,14,2026-01-24
u0028,2026-03-29 19:53:03,view,203,2026-03-29
u0114,2026-02-01 14:00:54,click,14,2026-02-01
u0033,2026-01-03 08:33:43,purchase,322,2026-01-03
u0079,2026-03-03 14:21:03,view,74,2026-03-03
u0013,2026-04-26 00:08:10,purchase,31,2026-04-26
u0045,2026-02-08 10:38:21,purchase,70,2026-02-08
u0146,2026-04-15 07:31:40,click,134,2026-04-15
u0034,2026-03-20 17:39:45,login,81,2026-03-20
u0145,2026-01-30 04:54:12,login,55,2026-01-30
u0038,2026-04-04 01:43:47,purchase,39,2026-04-04
u0104,2026-02-13 06:46:05,purchase,103,2026-02-13
u0126,2026-01-02 15:45:09,purchase,34,2026-01-02
u0158,2026-02-22 13:15:01,purchase,54,2026-02-22
u0151,2026-04-02 21:18:38,click,78,2026-04-02
u0116,2026-03-29 19:23:16,login,42,2026-03-29
u0061,2026-04-15 20:17:21,purchase,183,2026-04-15
u0060,2026-04-22 09:05:15,click,77,2026-04-22
u0196,2026-04-17 18:35:19,login,91,2026-04-17
u0004,2026-03-01 00:27:52,purchase,43,2026-03-01
u0046,2026-04-21 16:12:13,click,39,2026-04-21
u0190,2026-04-02 01:58:08,purchase,157,2026-04-02
u0007,2026-01-05 08:59:30,login,32,2026-01-05
u0007,2026-04-30 08:03:06,login,10,2026-04-30
u0184,2026-03-04 06:20:18,purchase,98,2026-03-04
u0011,2026-02-09 05:45:18,purchase,374,2026-02-09
u0199,2026-02-14 09:48:54,purchase,92,2026-02-14
u0144,2026-03-15 08:01:19,purchase,134,2026-03-15
u0047,2026-03-21 08:56:49,click,44,2026-03-21
u0037,2026-02-14 12:50:22,view,261,2026-02-14
u0055,2026-03-31 22:30:11,purchase,26,2026-03-31
u0119,2026-02-21 07:20:47,login,297,2026-02-21
u0075,2026-03-10 20:10:59,view,64,2026-03-10
u0151,2026-04-22 04:34:54,view,356,2026-04-22
u0183,2026-03-24 11:10:11,view,18,2026-03-24
u0200,2026-03-01 16:33:11,view,114,2026-03-01
u0163,2026-03-25 12:05:27,purchase,37,2026-03-25
u0100,2026-02-06 02:03:11,click,85,2026-02-06
u0157,2026-02-13 06:11:09,view,197,2026-02-13
u0109,2026-03-13 20:54:52,click,76,2026-03-13
u0192,2026-04-22 15:16:35,login,34,2026-04-22
u0028,2026-01-18 11:01:12,purchase,85,2026-01-18
u0143,2026-01-12 05:34:35,view,170,2026-01-12
u0056,2026-04-12 07:25:20,login,136,2026-04-12
u0192,2026-03-24 13:07:30,purchase,19,2026-03-24
u0130,2026-04-28 12:32:20,view,74,2026-04-28
u0072,2026-03-12 01:09:43,click,28,2026-03-12
u0158,2026-03-11 02:08:31,purchase,179,2026-03-11
u0160,2026-01-13 19:39:33,click,167,2026-01-13
u0178,2026-01-21 04:15:50,click,64,2026-01-21
u0023,2026-01-02 16:05:35,click,29,2026-01-02
u0083,2026-04-15 15:10:20,view,9,2026-04-15
u0103,2026-02-21 14:31:54,login,63,2026-02-21
u0009,2026-02-18 19:23:14,purchase,66,2026-02-18
u0170,2026-01-17 23:38:23,click,49,2026-01-17
u0188,2026-03-27 00:06:54,login,21,2026-03-27
u0179,2026-03-07 16:18:25,purchase,130,2026-03-07
u0093,2026-02-23 16:08:47,purchase,1059,2026-02-23
u0087,2026-04-01 04:54:41,login,32,2026-04-01
u0025,2026-04-15 15:07:06,purchase,50,2026-04-15
u0126,2026-03-21 20:01:47,purchase,160,2026-03-21
u0092,2026-04-03 16:37:42,login,9,2026-04-03
u0068,2026-04-07 00:17:39,purchase,132,2026-04-07
u0199,2026-04-01 18:44:42,click,57,2026-04-01
