user_id,timestamp,event_type,duration_seconds
u0200,2026-03-01T16:33:11,view,114
u0163,2026-03-25T12:05:27,purchase,37
u0100,2026-02-06T02:03:11,click,85
u0157,2026-02-13T06:11:09,view,197
u0109,2026-03-13T20:54:52,click,76
u0192,2026-04-22T15:16:35,login,34
u0028,2026-01-18T11:01:12,purchase,85
u0143,2026-01-12T05:34:35,view,170
u0056,2026-04-12T07:25:20,login,136
u0192,2026-03-24T13:07:30,purchase,19
u0130,2026-04-28T12:32:20,view,74
u0072,2026-03-12T01:09:43,click,28
u0158,2026-03-11T02:08:31,purchase,179
u0160,2026-01-13T19:39:33,click,167
u0178,2026-01-21T04:15:50,click,64
u0023,2026-01-02T16:05:35,click,29
u0083,2026-04-15T15:10:20,view,9
u0103,2026-02-21T14:31:54,login,63
u0009,2026-02-18T19:23:14,purchase,66
u0170,2026-01-17T23:38:23,click,49
u0188,2026-03-27T00:06:54,login,21
u0179,2026-03-07T16:18:25,purchase,130
u0093,2026-02-23T16:08:47,purchase,1059
u0087,2026-04-01T04:54:41,login,32
u0025,2026-04-15T15:07:06,purchase,50
u0126,2026-03-21T20:01:47,purchase,160
u0092,2026-04-03T16:37:42,login,9
u0068,2026-04-07T00:17:39,purchase,132
u0199,2026-04-01T18:44:42,click,57
